Protein ID,H1975_TGFb_Rep1_1,H1975_TGFb_Rep1_2,H1975_TGFb_Rep2_1,H1975_TGFb_Rep2_2,H1975_TGFb_Rep3_1,H1975_TGFb_Rep3_2,H1975_unst_Rep1_1,H1975_unst_Rep1_2,H1975_unst_Rep2_1,H1975_unst_Rep2_2,H1975_unst_Rep3_1,H1975_unst_Rep3_2,H838_TGFb_Rep1_1,H838_TGFb_Rep1_2,H838_TGFb_Rep2_1,H838_TGFb_Rep2_2,H838_TGFb_Rep3_1,H838_TGFb_Rep3_2,H838_unst_Rep1_1,H838_unst_Rep1_2,H838_unst_Rep2_1,H838_unst_Rep2_2,H838_unst_Rep3_1,H838_unst_Rep3_2
P08729,69807776000.0,70676857000.0,66421309000.0,66228490000.0,68343075000.0,68603511000.0,66750706000.0,66844852000.0,61051789000.0,62071796000.0,63973474000.0,63688708000.0,3232687360.0,3165526020.0,2930755070.0,3057615870.0,3323757570.0,3251163650.0,2909193980.0,2826094850.0,2976561660.0,3384487170.0,3114567420.0,3297712380.0
P04264,13664817200.0,13046250500.0,19958243300.0,19039373300.0,11542336500.0,11823716400.0,28275820500.0,28024055800.0,10088380400.0,10091029500.0,4813840400.0,4219283460.0,15287929900.0,14192543700.0,17986822100.0,18621255700.0,12882339800.0,12830833700.0,6001967100.0,5616083500.0,6117277200.0,6784403500.0,6075396100.0,6365401100.0
P08727,32964106200.0,34608374000.0,33896532000.0,33808588800.0,33943392300.0,33095329800.0,35700896000.0,40360899000.0,33263321100.0,34729558000.0,34899468000.0,31069706200.0,4249577470.0,4379944400.0,3933360900.0,4767906300.0,4440124900.0,4928358900.0,3426636290.0,3312279810.0,3506805760.0,3502849280.0,3845875200.0,3894857220.0
P35908,10246363100.0,9904423900.0,18608652300.0,18423427100.0,10519153700.0,10690487300.0,11947585500.0,13150639100.0,9212012500.0,8960934900.0,3530490880.0,3180721920.0,11690694700.0,11267623900.0,14037525500.0,15331912700.0,10798501900.0,10516199400.0,7226820100.0,7155061800.0,4955996200.0,5318555600.0,4786114600.0,5121120300.0
P35527,5602598400.0,5613354000.0,8206691800.0,7994049500.0,5965113300.0,5815686100.0,5104166400.0,5094597600.0,2512489980.0,2511587580.0,1392674560.0,1450565760.0,6221932000.0,5715286000.0,6947874800.0,6968352800.0,5453080600.0,5418884100.0,1593836800.0,1487775360.0,2109789310.0,2450957820.0,3069397500.0,3508795390.0
P13647,12984541200.0,12317253600.0,18374608900.0,17664479200.0,14917176300.0,14881284100.0,67494760000.0,71741071000.0,11509621800.0,12274117600.0,15456964600.0,11544386600.0,12624530400.0,11452621800.0,20312111100.0,15655420900.0,11535431700.0,10936452100.0,9260566500.0,8506447900.0,7350838800.0,8594911200.0,5833232400.0,6781823000.0
P02533,10806850600.0,9520409600.0,11568830500.0,11412383700.0,14116472800.0,13477993500.0,49637777000.0,52809060000.0,10382228500.0,8694719500.0,10485339100.0,7067388900.0,9153792000.0,8774651900.0,15191505900.0,14819582000.0,10193394700.0,10332388400.0,6488517100.0,6201759700.0,7930153000.0,9175768100.0,6163003900.0,5929748000.0
P04259,14286407700.0,12978408400.0,21809455100.0,21893365800.0,14779071500.0,15295924200.0,48462082000.0,54548607000.0,11400170500.0,12495898600.0,14362373100.0,8370296300.0,12783821800.0,12387868700.0,19647442900.0,17409878000.0,12242780200.0,12505036800.0,11308153900.0,9813438500.0,7563972100.0,8280734700.0,5976912400.0,6563198500.0
P02538,14177522700.0,13207399400.0,20410622000.0,19096162300.0,14703716400.0,15115499500.0,57107374000.0,61749191000.0,12248228900.0,13265685500.0,15214754800.0,10269069300.0,11569954800.0,11011372000.0,20110815200.0,15314105300.0,10873879600.0,11195855900.0,11223684100.0,9692719100.0,7057229800.0,7847100900.0,5916633600.0,6497006600.0
P13645,12731058200.0,12075831300.0,22891284500.0,21626603500.0,10986900500.0,10696563700.0,32472600600.0,30417739800.0,13745898500.0,14592216100.0,5697622500.0,5064824300.0,15195381800.0,12060186600.0,20660766700.0,21340545000.0,14053518300.0,13470283800.0,10400516100.0,10171727900.0,8160979500.0,9099495400.0,5753480200.0,5950665200.0
Q04695,11086855200.0,5056413200.0,4377249800.0,4671463400.0,6433215500.0,6310274000.0,25454524400.0,27274485800.0,6307718700.0,7984878100.0,19960459300.0,5417402400.0,12463587300.0,7345106400.0,19420956700.0,18191267800.0,19546372100.0,20753635300.0,9157782500.0,9221333000.0,12785560600.0,17367552000.0,15252306900.0,15636865000.0
Q07065,194318784.0,219530096.0,212712624.0,212506640.0,243336032.0,244075728.0,257324288.0,242295488.0,205329744.0,205408752.0,235302528.0,212399488.0,801713220.0,725835010.0,713863810.0,714459900.0,747490940.0,748274050.0,558913280.0,545731710.0,651126210.0,703429310.0,676680580.0,697244990.0
P08779,15098468400.0,11358535700.0,12496652300.0,11327107100.0,13723469800.0,15901478900.0,49213153000.0,62814065000.0,14466943000.0,13609051100.0,11811361800.0,12197415900.0,7443228700.0,6137186300.0,12651991000.0,10882488300.0,9260614700.0,9598391300.0,5657438700.0,5304638000.0,6945507800.0,8293990900.0,5026630100.0,4092840700.0
P54886,852995140.0,864414850.0,883029700.0,886838780.0,926234430.0,910570750.0,906069700.0,823332670.0,938906050.0,875001540.0,953071300.0,948066180.0,674172670.0,653334980.0,663330300.0,646089600.0,666380670.0,673869570.0,688314500.0,687701570.0,604447360.0,670017790.0,597926140.0,688685760.0
O14715,242657520.0,274137920.0,261437360.0,238775136.0,257827536.0,258320416.0,186966544.0,222269712.0,237189968.0,273304928.0,228711424.0,225133088.0,287347040.0,308112704.0,299291552.0,304429216.0,293017952.0,286304736.0,252005264.0,278165152.0,250057712.0,267032912.0,249856672.0,256738096.0
Q08752,118431616.0,112111392.0,122992440.0,84121600.0,109035344.0,119569024.0,172986448.0,139986368.0,133247168.0,142979760.0,144960576.0,135249776.0,287461760.0,338812416.0,312669600.0,305044608.0,238204256.0,298777408.0,345828512.0,285257504.0,264244224.0,248419920.0,282145120.0,292595968.0
